 ,Major1,Minor1,Angle1,Major2,Minor2,Angle2
1,33.162,23.996,8.041,32.496,19.199,156.507
2,33.162,23.996,8.041,32.496,19.199,156.507
3,33.162,23.996,8.041,32.496,19.199,156.507
4,33.162,23.996,8.041,32.496,19.199,156.507
5,33.162,23.996,8.041,32.496,19.199,156.507
6,33.162,23.996,8.041,32.496,19.199,156.507
7,33.162,23.996,8.041,32.496,19.199,156.507
8,33.162,23.996,8.041,32.496,19.199,156.507
9,33.162,23.996,8.041,32.496,19.199,156.507
10,33.162,23.996,8.041,32.496,19.199,156.507
11,33.162,23.996,8.041,32.496,19.199,156.507
12,33.162,23.996,8.041,32.496,19.199,156.507
13,33.162,23.996,8.041,32.496,19.199,156.507
14,33.162,23.996,8.041,32.496,19.199,156.507
15,33.162,23.996,8.041,32.496,19.199,156.507
16,33.162,23.996,8.041,32.496,19.199,156.507
17,33.162,23.996,8.041,32.496,19.199,156.507
18,33.162,23.996,8.041,32.496,19.199,156.507
19,33.162,23.996,8.041,32.496,19.199,156.507
20,33.162,23.996,8.041,32.496,19.199,156.507
21,33.162,23.996,8.041,32.496,19.199,156.507
22,33.162,23.996,8.041,32.496,19.199,156.507
23,33.162,23.996,8.041,32.496,19.199,156.507
24,33.162,23.996,8.041,32.496,19.199,156.507
25,33.162,23.996,8.041,32.496,19.199,156.507
26,33.162,23.996,8.041,32.496,19.199,156.507
27,33.162,23.996,8.041,32.496,19.199,156.507
28,33.162,23.996,8.041,32.496,19.199,156.507
29,33.162,23.996,8.041,32.496,19.199,156.507
30,33.162,23.996,8.041,32.496,19.199,156.507
31,33.162,23.996,8.041,32.496,19.199,156.507
32,33.162,23.996,8.041,32.496,19.199,156.507
33,33.162,23.996,8.041,32.496,19.199,156.507
34,33.162,23.996,8.041,32.496,19.199,156.507
35,33.162,23.996,8.041,32.496,19.199,156.507
36,33.162,23.996,8.041,32.496,19.199,156.507
37,33.162,23.996,8.041,32.496,19.199,156.507
38,33.162,23.996,8.041,32.496,19.199,156.507
39,33.162,23.996,8.041,32.496,19.199,156.507
40,33.162,23.996,8.041,32.496,19.199,156.507
41,33.162,23.996,8.041,32.496,19.199,156.507
42,33.162,23.996,8.041,32.496,19.199,156.507
43,33.162,23.996,8.041,32.496,19.199,156.507
44,33.162,23.996,8.041,32.496,19.199,156.507
45,33.162,23.996,8.041,32.496,19.199,156.507
46,33.162,23.996,8.041,32.496,19.199,156.507
47,33.162,23.996,8.041,32.496,19.199,156.507
48,33.162,23.996,8.041,32.496,19.199,156.507
49,33.162,23.996,8.041,32.496,19.199,156.507
50,33.162,23.996,8.041,32.496,19.199,156.507
51,33.162,23.996,8.041,32.496,19.199,156.507
52,33.162,23.996,8.041,32.496,19.199,156.507
53,33.162,23.996,8.041,32.496,19.199,156.507
54,33.162,23.996,8.041,32.496,19.199,156.507
55,33.162,23.996,8.041,32.496,19.199,156.507
56,33.162,23.996,8.041,32.496,19.199,156.507
57,33.162,23.996,8.041,32.496,19.199,156.507
58,33.162,23.996,8.041,32.496,19.199,156.507
59,33.162,23.996,8.041,32.496,19.199,156.507
60,33.162,23.996,8.041,32.496,19.199,156.507
61,33.162,23.996,8.041,32.496,19.199,156.507
62,33.162,23.996,8.041,32.496,19.199,156.507
63,33.162,23.996,8.041,32.496,19.199,156.507
64,33.162,23.996,8.041,32.496,19.199,156.507
65,33.162,23.996,8.041,32.496,19.199,156.507
66,33.162,23.996,8.041,32.496,19.199,156.507
67,33.162,23.996,8.041,32.496,19.199,156.507
68,33.162,23.996,8.041,32.496,19.199,156.507
69,33.162,23.996,8.041,32.496,19.199,156.507
70,33.162,23.996,8.041,32.496,19.199,156.507
71,33.162,23.996,8.041,32.496,19.199,156.507
72,33.162,23.996,8.041,32.496,19.199,156.507
73,33.162,23.996,8.041,32.496,19.199,156.507
74,33.162,23.996,8.041,32.496,19.199,156.507
75,33.162,23.996,8.041,32.496,19.199,156.507
76,33.162,23.996,8.041,32.496,19.199,156.507
77,33.162,23.996,8.041,32.496,19.199,156.507
78,33.162,23.996,8.041,32.496,19.199,156.507
79,33.162,23.996,8.041,32.496,19.199,156.507
80,33.162,23.996,8.041,32.496,19.199,156.507
81,33.162,23.996,8.041,32.496,19.199,156.507
82,33.162,23.996,8.041,32.496,19.199,156.507
83,33.162,23.996,8.041,32.496,19.199,156.507
84,33.162,23.996,8.041,32.496,19.199,156.507
85,33.162,23.996,8.041,32.496,19.199,156.507
86,33.162,23.996,8.041,32.496,19.199,156.507
87,33.162,23.996,8.041,32.496,19.199,156.507
88,33.162,23.996,8.041,32.496,19.199,156.507
89,33.162,23.996,8.041,32.496,19.199,156.507
90,33.162,23.996,8.041,32.496,19.199,156.507
91,33.162,23.996,8.041,32.496,19.199,156.507
92,33.162,23.996,8.041,32.496,19.199,156.507
93,33.162,23.996,8.041,32.496,19.199,156.507
94,33.162,23.996,8.041,32.496,19.199,156.507
95,33.162,23.996,8.041,32.496,19.199,156.507
96,33.162,23.996,8.041,32.496,19.199,156.507
97,33.162,23.996,8.041,32.496,19.199,156.507
98,33.162,23.996,8.041,32.496,19.199,156.507
99,33.162,23.996,8.041,32.496,19.199,156.507
100,33.162,23.996,8.041,32.496,19.199,156.507
101,33.162,23.996,8.041,32.496,19.199,156.507
102,33.162,23.996,8.041,32.496,19.199,156.507
103,33.162,23.996,8.041,32.496,19.199,156.507
104,33.162,23.996,8.041,32.496,19.199,156.507
105,33.162,23.996,8.041,32.496,19.199,156.507
106,33.162,23.996,8.041,32.496,19.199,156.507
107,33.162,23.996,8.041,32.496,19.199,156.507
108,33.162,23.996,8.041,32.496,19.199,156.507
109,33.162,23.996,8.041,32.496,19.199,156.507
110,33.162,23.996,8.041,32.496,19.199,156.507
111,33.162,23.996,8.041,32.496,19.199,156.507
112,33.162,23.996,8.041,32.496,19.199,156.507
113,33.162,23.996,8.041,32.496,19.199,156.507
114,33.162,23.996,8.041,32.496,19.199,156.507
115,33.162,23.996,8.041,32.496,19.199,156.507
116,33.162,23.996,8.041,32.496,19.199,156.507
117,33.162,23.996,8.041,32.496,19.199,156.507
118,33.162,23.996,8.041,32.496,19.199,156.507
119,33.162,23.996,8.041,32.496,19.199,156.507
120,33.162,23.996,8.041,32.496,19.199,156.507
121,33.162,23.996,8.041,32.496,19.199,156.507
122,33.162,23.996,8.041,32.496,19.199,156.507
123,33.162,23.996,8.041,32.496,19.199,156.507
124,33.162,23.996,8.041,32.496,19.199,156.507
125,33.162,23.996,8.041,32.496,19.199,156.507
126,33.162,23.996,8.041,32.496,19.199,156.507
127,33.162,23.996,8.041,32.496,19.199,156.507
128,33.162,23.996,8.041,32.496,19.199,156.507
129,33.162,23.996,8.041,32.496,19.199,156.507
130,33.162,23.996,8.041,32.496,19.199,156.507
131,33.162,23.996,8.041,32.496,19.199,156.507
132,33.162,23.996,8.041,32.496,19.199,156.507
133,33.162,23.996,8.041,32.496,19.199,156.507
134,33.162,23.996,8.041,32.496,19.199,156.507
135,33.162,23.996,8.041,32.496,19.199,156.507
136,33.162,23.996,8.041,32.496,19.199,156.507
137,33.162,23.996,8.041,32.496,19.199,156.507
138,33.162,23.996,8.041,32.496,19.199,156.507
139,33.162,23.996,8.041,32.496,19.199,156.507
140,33.162,23.996,8.041,32.496,19.199,156.507
141,33.162,23.996,8.041,32.496,19.199,156.507
142,33.162,23.996,8.041,32.496,19.199,156.507
143,33.162,23.996,8.041,32.496,19.199,156.507
144,33.162,23.996,8.041,32.496,19.199,156.507
145,33.162,23.996,8.041,32.496,19.199,156.507
146,33.162,23.996,8.041,32.496,19.199,156.507
147,33.162,23.996,8.041,32.496,19.199,156.507
148,33.162,23.996,8.041,32.496,19.199,156.507
149,33.162,23.996,8.041,32.496,19.199,156.507
150,33.162,23.996,8.041,32.496,19.199,156.507
151,33.162,23.996,8.041,32.496,19.199,156.507
152,33.162,23.996,8.041,32.496,19.199,156.507
153,33.162,23.996,8.041,32.496,19.199,156.507
154,33.162,23.996,8.041,32.496,19.199,156.507
155,33.162,23.996,8.041,32.496,19.199,156.507
156,33.162,23.996,8.041,32.496,19.199,156.507
157,33.162,23.996,8.041,32.496,19.199,156.507
158,33.162,23.996,8.041,32.496,19.199,156.507
159,33.162,23.996,8.041,32.496,19.199,156.507
160,33.162,23.996,8.041,32.496,19.199,156.507
161,33.162,23.996,8.041,32.496,19.199,156.507
162,33.162,23.996,8.041,32.496,19.199,156.507
163,33.162,23.996,8.041,32.496,19.199,156.507
164,33.162,23.996,8.041,32.496,19.199,156.507
165,33.162,23.996,8.041,32.496,19.199,156.507
166,33.162,23.996,8.041,32.496,19.199,156.507
167,33.162,23.996,8.041,32.496,19.199,156.507
168,33.162,23.996,8.041,32.496,19.199,156.507
169,33.162,23.996,8.041,32.496,19.199,156.507
170,33.162,23.996,8.041,32.496,19.199,156.507
171,33.162,23.996,8.041,32.496,19.199,156.507
172,33.162,23.996,8.041,32.496,19.199,156.507
173,33.162,23.996,8.041,32.496,19.199,156.507
174,33.162,23.996,8.041,32.496,19.199,156.507
175,33.162,23.996,8.041,32.496,19.199,156.507
176,33.162,23.996,8.041,32.496,19.199,156.507
177,33.162,23.996,8.041,32.496,19.199,156.507
178,33.162,23.996,8.041,32.496,19.199,156.507
179,33.162,23.996,8.041,32.496,19.199,156.507
180,33.162,23.996,8.041,32.496,19.199,156.507
181,33.162,23.996,8.041,32.496,19.199,156.507
182,33.162,23.996,8.041,32.496,19.199,156.507
183,33.162,23.996,8.041,32.496,19.199,156.507
184,33.162,23.996,8.041,32.496,19.199,156.507
